#截止2023-12-25，中国电信IP地址段共计5872条。电信AS区域
#IP起始	结束	数量	网络
61.164.0.0	61.164.255.255	65536	61.164.0.0/16
61.164.79.0	61.164.79.255	256	61.164.79.0/24
61.164.108.0	61.164.109.255	512	61.164.108.0/23
61.164.110.0	61.164.111.255	512	61.164.110.0/23
61.164.112.0	61.164.113.255	512	61.164.112.0/23
61.164.114.0	61.164.115.255	512	61.164.114.0/23
61.164.116.0	61.164.117.255	512	61.164.116.0/23
61.164.118.0	61.164.119.255	512	61.164.118.0/23
61.164.123.0	61.164.123.255	256	61.164.123.0/24
61.164.124.0	61.164.125.255	512	61.164.124.0/23
61.164.126.0	61.164.126.255	256	61.164.126.0/24
61.164.140.0	61.164.140.255	256	61.164.140.0/24
61.164.141.0	61.164.141.255	256	61.164.141.0/24
61.164.142.0	61.164.142.255	256	61.164.142.0/24
61.164.143.0	61.164.143.255	256	61.164.143.0/24
61.164.144.0	61.164.144.255	256	61.164.144.0/24
61.164.145.0	61.164.145.255	256	61.164.145.0/24
61.164.147.0	61.164.147.255	256	61.164.147.0/24
61.164.148.0	61.164.148.255	256	61.164.148.0/24
61.164.149.0	61.164.149.255	256	61.164.149.0/24
61.164.150.0	61.164.150.255	256	61.164.150.0/24
61.164.151.0	61.164.151.255	256	61.164.151.0/24
61.164.153.0	61.164.153.255	256	61.164.153.0/24
61.164.154.0	61.164.154.255	256	61.164.154.0/24
61.164.155.0	61.164.155.255	256	61.164.155.0/24
61.164.156.0	61.164.156.255	256	61.164.156.0/24
61.164.157.0	61.164.157.255	256	61.164.157.0/24
61.164.158.0	61.164.158.255	256	61.164.158.0/24
61.164.159.0	61.164.159.255	256	61.164.159.0/24
61.164.160.0	61.164.161.255	512	61.164.160.0/23
61.164.173.0	61.164.173.255	256	61.164.173.0/24
61.164.174.0	61.164.174.255	256	61.164.174.0/24
61.164.186.0	61.164.187.255	512	61.164.186.0/23
61.164.240.0	61.164.240.255	256	61.164.240.0/24
61.164.247.0	61.164.247.255	256	61.164.247.0/24
61.165.0.0	61.165.127.255	32768	61.165.0.0/17
61.165.0.0	61.165.255.255	65536	61.165.0.0/16
61.165.128.0	61.165.255.255	32768	61.165.128.0/17
61.166.0.0	61.166.255.255	65536	61.166.0.0/16
61.166.151.0	61.166.151.255	256	61.166.151.0/24
61.166.155.0	61.166.155.255	256	61.166.155.0/24
61.169.0.0	61.169.127.255	32768	61.169.0.0/17
61.169.0.0	61.169.255.255	65536	61.169.0.0/16
61.169.128.0	61.169.255.255	32768	61.169.128.0/17
61.170.0.0	61.170.63.255	16384	61.170.0.0/18
61.170.64.0	61.170.127.255	16384	61.170.64.0/18
61.170.128.0	61.170.255.255	32768	61.170.128.0/17
61.171.0.0	61.171.127.255	32768	61.171.0.0/17
61.171.0.0	61.171.255.255	65536	61.171.0.0/16
61.171.128.0	61.171.255.255	32768	61.171.128.0/17
61.172.0.0	61.172.255.255	65536	61.172.0.0/16
61.173.0.0	61.173.127.255	32768	61.173.0.0/17
61.173.0.0	61.173.255.255	65536	61.173.0.0/16
61.173.128.0	61.173.255.255	32768	61.173.128.0/17
61.174.0.0	61.175.255.255	131072	61.174.0.0/15
61.174.8.0	61.174.15.255	2048	61.174.8.0/21
61.174.40.0	61.174.41.255	512	61.174.40.0/23
61.174.42.0	61.174.43.255	512	61.174.42.0/23
61.174.68.0	61.174.68.255	256	61.174.68.0/24
61.174.240.0	61.174.255.255	4096	61.174.240.0/20
61.175.103.0	61.175.103.255	256	61.175.103.0/24
61.175.227.0	61.175.227.255	256	61.175.227.0/24
61.175.253.0	61.175.253.255	256	61.175.253.0/24
61.177.0.0	61.177.255.255	65536	61.177.0.0/16
61.177.0.0	61.177.255.255	65536	61.177.0.0/16
61.177.95.0	61.177.95.255	256	61.177.95.0/24
61.177.113.0	61.177.113.255	256	61.177.113.0/24
61.178.0.0	61.178.255.255	65536	61.178.0.0/16
61.180.0.0	61.180.127.255	32768	61.180.0.0/17
61.183.0.0	61.183.255.255	65536	61.183.0.0/16
61.183.52.0	61.183.52.255	256	61.183.52.0/24
61.183.164.0	61.183.167.255	1024	61.183.164.0/22
61.184.0.0	61.184.255.255	65536	61.184.0.0/16
61.184.116.0	61.184.116.255	256	61.184.116.0/24
61.185.0.0	61.185.255.255	65536	61.185.0.0/16
61.186.0.0	61.186.63.255	16384	61.186.0.0/18
61.186.64.0	61.186.127.255	16384	61.186.64.0/18
61.186.128.0	61.186.255.255	32768	61.186.128.0/17
61.186.250.0	61.186.251.255	512	61.186.250.0/23
61.186.252.0	61.186.253.255	512	61.186.252.0/23
61.186.254.0	61.186.254.255	256	61.186.254.0/24
61.187.0.0	61.187.255.255	65536	61.187.0.0/16
61.188.0.0	61.188.255.255	65536	61.188.0.0/16
61.188.1.0	61.188.1.255	256	61.188.1.0/24
61.188.37.0	61.188.37.255	256	61.188.37.0/24
61.188.38.0	61.188.38.255	256	61.188.38.0/24
61.188.38.0	61.188.39.255	512	61.188.38.0/23
61.188.39.0	61.188.39.255	256	61.188.39.0/24
61.188.87.0	61.188.87.255	256	61.188.87.0/24
61.188.96.0	61.188.96.255	256	61.188.96.0/24
61.188.176.0	61.188.176.255	256	61.188.176.0/24
61.188.177.0	61.188.177.255	256	61.188.177.0/24
61.188.178.0	61.188.178.255	256	61.188.178.0/24
61.188.179.0	61.188.179.255	256	61.188.179.0/24
61.188.189.0	61.188.189.255	256	61.188.189.0/24
61.188.190.0	61.188.190.255	256	61.188.190.0/24
61.188.201.0	61.188.201.255	256	61.188.201.0/24
61.188.255.0	61.188.255.255	256	61.188.255.0/24
61.189.128.0	61.189.255.255	32768	61.189.128.0/17
61.190.0.0	61.191.255.255	131072	61.190.0.0/15
63.140.0.0	63.140.0.255	256	63.140.0.0/24
63.140.1.0	63.140.1.255	256	63.140.1.0/24
63.140.2.0	63.140.2.255	256	63.140.2.0/24
63.140.3.0	63.140.3.255	256	63.140.3.0/24
63.140.4.0	63.140.4.255	256	63.140.4.0/24
63.140.5.0	63.140.5.255	256	63.140.5.0/24
63.140.6.0	63.140.6.255	256	63.140.6.0/24
63.140.7.0	63.140.7.255	256	63.140.7.0/24
63.140.8.0	63.140.8.255	256	63.140.8.0/24
63.140.13.0	63.140.13.255	256	63.140.13.0/24
66.102.240.0	66.102.240.255	256	66.102.240.0/24
66.102.240.0	66.102.247.255	2048	66.102.240.0/21
66.102.241.0	66.102.241.255	256	66.102.241.0/24
66.102.245.0	66.102.245.255	256	66.102.245.0/24
66.102.247.0	66.102.247.255	256	66.102.247.0/24
66.102.248.0	66.102.251.255	1024	66.102.248.0/22
66.102.249.0	66.102.249.255	256	66.102.249.0/24
66.102.250.0	66.102.250.255	256	66.102.250.0/24
66.102.252.0	66.102.252.255	256	66.102.252.0/24
66.102.254.0	66.102.254.255	256	66.102.254.0/24
66.102.255.0	66.102.255.255	256	66.102.255.0/24
69.163.96.0	69.163.97.255	512	69.163.96.0/23
69.163.104.0	69.163.104.255	256	69.163.104.0/24
69.163.105.0	69.163.105.255	256	69.163.105.0/24
69.163.106.0	69.163.106.255	256	69.163.106.0/24
69.163.109.0	69.163.109.255	256	69.163.109.0/24
69.235.184.0	69.235.191.255	2048	69.235.184.0/21
69.235.188.0	69.235.189.255	512	69.235.188.0/23
81.173.18.0	81.173.18.255	256	81.173.18.0/24
81.173.19.0	81.173.19.255	256	81.173.19.0/24
81.173.20.0	81.173.20.255	256	81.173.20.0/24
81.173.21.0	81.173.21.255	256	81.173.21.0/24
81.173.22.0	81.173.22.255	256	81.173.22.0/24
81.173.23.0	81.173.23.255	256	81.173.23.0/24
81.173.28.0	81.173.28.255	256	81.173.28.0/24
101.1.0.0	101.1.3.255	1024	101.1.0.0/22
101.2.172.0	101.2.175.255	1024	101.2.172.0/22
101.36.0.0	101.36.63.255	16384	101.36.0.0/18
101.36.64.0	101.36.79.255	4096	101.36.64.0/20
101.36.128.0	101.36.255.255	32768	101.36.128.0/17
101.50.56.0	101.50.59.255	1024	101.50.56.0/22
101.52.212.0	101.52.215.255	1024	101.52.212.0/22
101.52.216.0	101.52.219.255	1024	101.52.216.0/22
101.52.220.0	101.52.223.255	1024	101.52.220.0/22
101.52.236.0	101.52.237.255	512	101.52.236.0/23
101.52.238.0	101.52.239.255	512	101.52.238.0/23
101.52.248.0	101.52.251.255	1024	101.52.248.0/22
101.52.252.0	101.52.255.255	1024	101.52.252.0/22
101.53.100.0	101.53.103.255	1024	101.53.100.0/22
101.78.0.0	101.78.3.255	1024	101.78.0.0/22
101.80.0.0	101.87.255.255	524288	101.80.0.0/13
101.82.0.0	101.83.255.255	131072	101.82.0.0/15
101.88.0.0	101.95.255.255	524288	101.88.0.0/13
101.90.0.0	101.90.255.255	65536	101.90.0.0/16
101.96.10.0	101.96.11.255	512	101.96.10.0/23
101.96.144.0	101.96.159.255	4096	101.96.144.0/20
101.128.0.0	101.128.3.255	1024	101.128.0.0/22
101.198.0.0	101.198.0.255	256	101.198.0.0/24
101.198.1.0	101.198.1.255	256	101.198.1.0/24
101.198.2.0	101.198.2.255	256	101.198.2.0/24
101.198.3.0	101.198.3.255	256	101.198.3.0/24
101.199.97.0	101.199.97.255	256	101.199.97.0/24
101.199.112.0	101.199.112.255	256	101.199.112.0/24
101.199.113.0	101.199.113.255	256	101.199.113.0/24
101.199.114.0	101.199.114.255	256	101.199.114.0/24
101.199.125.0	101.199.125.255	256	101.199.125.0/24
101.203.172.0	101.203.175.255	1024	101.203.172.0/22
101.224.0.0	101.231.255.255	524288	101.224.0.0/13
101.226.0.0	101.226.255.255	65536	101.226.0.0/16
101.226.186.0	101.226.187.255	512	101.226.186.0/23
101.226.188.0	101.226.191.255	1024	101.226.188.0/22
101.226.192.0	101.226.195.255	1024	101.226.192.0/22
101.227.0.0	101.227.255.255	65536	101.227.0.0/16
101.228.0.0	101.228.127.255	32768	101.228.0.0/17
101.230.0.0	101.230.255.255	65536	101.230.0.0/16
101.230.0.0	101.231.255.255	131072	101.230.0.0/15
101.230.58.0	101.230.58.255	256	101.230.58.0/24
101.230.59.0	101.230.59.255	256	101.230.59.0/24
101.230.60.0	101.230.60.255	256	101.230.60.0/24
101.230.61.0	101.230.61.255	256	101.230.61.0/24
101.230.62.0	101.230.62.255	256	101.230.62.0/24
101.230.63.0	101.230.63.255	256	101.230.63.0/24
101.230.64.0	101.230.127.255	16384	101.230.64.0/18
101.230.80.0	101.230.95.255	4096	101.230.80.0/20
101.230.128.0	101.230.191.255	16384	101.230.128.0/18
101.230.152.0	101.230.152.255	256	101.230.152.0/24
101.230.155.0	101.230.155.255	256	101.230.155.0/24
101.230.177.0	101.230.177.255	256	101.230.177.0/24
101.230.215.0	101.230.215.255	256	101.230.215.0/24
101.230.226.0	101.230.226.255	256	101.230.226.0/24
101.230.250.0	101.230.250.255	256	101.230.250.0/24
101.230.253.0	101.230.253.255	256	101.230.253.0/24
101.231.0.0	101.231.255.255	65536	101.231.0.0/16
101.231.36.0	101.231.36.255	256	101.231.36.0/24
101.234.76.0	101.234.79.255	1024	101.234.76.0/22
101.236.128.0	101.236.135.255	2048	101.236.128.0/21
101.236.136.0	101.236.143.255	2048	101.236.136.0/21
101.236.144.0	101.236.151.255	2048	101.236.144.0/21
101.236.152.0	101.236.159.255	2048	101.236.152.0/21
101.236.160.0	101.236.167.255	2048	101.236.160.0/21
101.236.168.0	101.236.175.255	2048	101.236.168.0/21
101.236.176.0	101.236.183.255	2048	101.236.176.0/21
101.236.184.0	101.236.191.255	2048	101.236.184.0/21
101.236.192.0	101.236.199.255	2048	101.236.192.0/21
101.236.200.0	101.236.207.255	2048	101.236.200.0/21
101.236.208.0	101.236.215.255	2048	101.236.208.0/21
101.236.216.0	101.236.223.255	2048	101.236.216.0/21
101.236.224.0	101.236.231.255	2048	101.236.224.0/21
101.236.232.0	101.236.239.255	2048	101.236.232.0/21
101.236.240.0	101.236.247.255	2048	101.236.240.0/21
101.236.248.0	101.236.255.255	2048	101.236.248.0/21
101.237.33.0	101.237.33.255	256	101.237.33.0/24
101.237.34.0	101.237.34.255	256	101.237.34.0/24
101.237.35.0	101.237.35.255	256	101.237.35.0/24
101.237.36.0	101.237.36.255	256	101.237.36.0/24
101.237.37.0	101.237.37.255	256	101.237.37.0/24
101.237.38.0	101.237.38.255	256	101.237.38.0/24
101.237.39.0	101.237.39.255	256	101.237.39.0/24
101.237.40.0	101.237.40.255	256	101.237.40.0/24
101.237.128.0	101.237.143.255	4096	101.237.128.0/20
101.248.0.0	101.248.255.255	65536	101.248.0.0/16
101.248.0.0	101.249.255.255	131072	101.248.0.0/15
101.251.0.0	101.251.3.255	1024	101.251.0.0/22
101.251.192.0	101.251.199.255	2048	101.251.192.0/21
101.251.192.0	101.251.223.255	8192	101.251.192.0/19
101.251.204.0	101.251.207.255	1024	101.251.204.0/22
101.251.208.0	101.251.223.255	4096	101.251.208.0/20
101.251.224.0	101.251.255.255	8192	101.251.224.0/19
101.251.240.0	101.251.247.255	2048	101.251.240.0/21
101.251.240.0	101.251.255.255	4096	101.251.240.0/20
101.251.248.0	101.251.251.255	1024	101.251.248.0/22
101.251.252.0	101.251.255.255	1024	101.251.252.0/22
101.254.0.0	101.254.15.255	4096	101.254.0.0/20
101.254.32.0	101.254.63.255	8192	101.254.32.0/19
101.254.64.0	101.254.95.255	8192	101.254.64.0/19
101.254.96.0	101.254.96.255	256	101.254.96.0/24
101.254.97.0	101.254.97.255	256	101.254.97.0/24
101.254.98.0	101.254.98.255	256	101.254.98.0/24
101.254.100.0	101.254.103.255	1024	101.254.100.0/22
101.254.104.0	101.254.111.255	2048	101.254.104.0/21
101.254.112.0	101.254.127.255	4096	101.254.112.0/20
101.254.128.0	101.254.131.255	1024	101.254.128.0/22
101.254.132.0	101.254.135.255	1024	101.254.132.0/22
101.254.136.0	101.254.139.255	1024	101.254.136.0/22
101.254.140.0	101.254.143.255	1024	101.254.140.0/22
101.254.144.0	101.254.147.255	1024	101.254.144.0/22
101.254.148.0	101.254.151.255	1024	101.254.148.0/22
101.254.152.0	101.254.155.255	1024	101.254.152.0/22
101.254.156.0	101.254.159.255	1024	101.254.156.0/22
101.254.160.0	101.254.163.255	1024	101.254.160.0/22
101.254.164.0	101.254.167.255	1024	101.254.164.0/22
101.254.168.0	101.254.171.255	1024	101.254.168.0/22
101.254.172.0	101.254.175.255	1024	101.254.172.0/22
101.254.176.0	101.254.179.255	1024	101.254.176.0/22
101.254.180.0	101.254.183.255	1024	101.254.180.0/22
101.254.184.0	101.254.187.255	1024	101.254.184.0/22
101.254.188.0	101.254.191.255	1024	101.254.188.0/22
101.254.192.0	101.254.195.255	1024	101.254.192.0/22
101.254.196.0	101.254.199.255	1024	101.254.196.0/22
101.254.200.0	101.254.203.255	1024	101.254.200.0/22
101.254.204.0	101.254.207.255	1024	101.254.204.0/22
101.254.208.0	101.254.211.255	1024	101.254.208.0/22
101.254.212.0	101.254.215.255	1024	101.254.212.0/22
101.254.216.0	101.254.219.255	1024	101.254.216.0/22
101.254.220.0	101.254.223.255	1024	101.254.220.0/22
101.254.224.0	101.254.227.255	1024	101.254.224.0/22
101.254.228.0	101.254.231.255	1024	101.254.228.0/22
101.254.232.0	101.254.235.255	1024	101.254.232.0/22
101.254.236.0	101.254.239.255	1024	101.254.236.0/22
101.254.240.0	101.254.243.255	1024	101.254.240.0/22
101.254.244.0	101.254.247.255	1024	101.254.244.0/22
101.254.248.0	101.254.251.255	1024	101.254.248.0/22
101.254.252.0	101.254.255.255	1024	101.254.252.0/22
103.5.192.0	103.5.195.255	1024	103.5.192.0/22
103.6.220.0	103.6.220.255	256	103.6.220.0/24
103.6.220.0	103.6.223.255	1024	103.6.220.0/22
103.6.221.0	103.6.221.255	256	103.6.221.0/24
103.6.222.0	103.6.222.255	256	103.6.222.0/24
103.6.223.0	103.6.223.255	256	103.6.223.0/24
103.9.252.0	103.9.255.255	1024	103.9.252.0/22
103.17.40.0	103.17.43.255	1024	103.17.40.0/22
103.20.128.0	103.20.131.255	1024	103.20.128.0/22
103.20.248.0	103.20.249.255	512	103.20.248.0/23
103.21.140.0	103.21.141.255	512	103.21.140.0/23
103.21.140.0	103.21.143.255	1024	103.21.140.0/22
103.21.142.0	103.21.143.255	512	103.21.142.0/23
103.23.8.0	103.23.11.255	1024	103.23.8.0/22
103.24.116.0	103.24.116.255	256	103.24.116.0/24
103.24.118.0	103.24.119.255	512	103.24.118.0/23
103.24.176.0	103.24.179.255	1024	103.24.176.0/22
103.25.20.0	103.25.23.255	1024	103.25.20.0/22
103.25.36.0	103.25.39.255	1024	103.25.36.0/22
103.25.64.0	103.25.65.255	512	103.25.64.0/23
103.26.0.0	103.26.3.255	1024	103.26.0.0/22
103.26.64.0	103.26.67.255	1024	103.26.64.0/22
103.26.76.0	103.26.79.255	1024	103.26.76.0/22
103.28.8.0	103.28.8.255	256	103.28.8.0/24
103.28.212.0	103.28.215.255	1024	103.28.212.0/22
103.31.72.0	103.31.72.255	256	103.31.72.0/24
103.36.36.0	103.36.39.255	1024	103.36.36.0/22
103.36.60.0	103.36.63.255	1024	103.36.60.0/22
103.36.132.0	103.36.133.255	512	103.36.132.0/23
103.36.132.0	103.36.135.255	1024	103.36.132.0/22
103.36.134.0	103.36.135.255	512	103.36.134.0/23
103.36.164.0	103.36.165.255	512	103.36.164.0/23
103.36.192.0	103.36.195.255	1024	103.36.192.0/22
103.36.196.0	103.36.199.255	1024	103.36.196.0/22
103.36.200.0	103.36.203.255	1024	103.36.200.0/22
103.36.204.0	103.36.207.255	1024	103.36.204.0/22
103.36.220.0	103.36.223.255	1024	103.36.220.0/22
103.37.12.0	103.37.15.255	1024	103.37.12.0/22
103.37.16.0	103.37.17.255	512	103.37.16.0/23
103.37.18.0	103.37.18.255	256	103.37.18.0/24
103.37.18.0	103.37.19.255	512	103.37.18.0/23
103.37.44.0	103.37.44.255	256	103.37.44.0/24
103.37.45.0	103.37.45.255	256	103.37.45.0/24
103.37.46.0	103.37.46.255	256	103.37.46.0/24
103.37.72.0	103.37.75.255	1024	103.37.72.0/22
103.38.84.0	103.38.87.255	1024	103.38.84.0/22
103.38.252.0	103.38.253.255	512	103.38.252.0/23
103.39.208.0	103.39.223.255	4096	103.39.208.0/20
103.39.224.0	103.39.231.255	2048	103.39.224.0/21
103.39.232.0	103.39.235.255	1024	103.39.232.0/22
103.40.240.0	103.40.255.255	4096	103.40.240.0/20
103.41.164.0	103.41.167.255	1024	103.41.164.0/22
103.41.232.0	103.41.232.255	256	103.41.232.0/24
103.41.233.0	103.41.233.255	256	103.41.233.0/24
103.44.236.0	103.44.239.255	1024	103.44.236.0/22
103.44.240.0	103.44.255.255	4096	103.44.240.0/20
103.45.172.0	103.45.175.255	1024	103.45.172.0/22
103.45.176.0	103.45.191.255	4096	103.45.176.0/20
103.45.248.0	103.45.251.255	1024	103.45.248.0/22
103.47.80.0	103.47.83.255	1024	103.47.80.0/22
103.47.82.0	103.47.82.255	256	103.47.82.0/24
103.52.104.0	103.52.104.255	256	103.52.104.0/24
103.52.105.0	103.52.105.255	256	103.52.105.0/24
103.52.172.0	103.52.175.255	1024	103.52.172.0/22
103.52.176.0	103.52.179.255	1024	103.52.176.0/22
103.55.172.0	103.55.175.255	1024	103.55.172.0/22
103.56.76.0	103.56.79.255	1024	103.56.76.0/22
103.56.152.0	103.56.155.255	1024	103.56.152.0/22
103.56.184.0	103.56.187.255	1024	103.56.184.0/22
103.59.112.0	103.59.115.255	1024	103.59.112.0/22
103.60.228.0	103.60.229.255	512	103.60.228.0/23
103.61.188.0	103.61.188.255	256	103.61.188.0/24
103.64.156.0	103.64.159.255	1024	103.64.156.0/22
103.64.212.0	103.64.215.255	1024	103.64.212.0/22
103.65.8.0	103.65.11.255	1024	103.65.8.0/22
103.69.16.0	103.69.19.255	1024	103.69.16.0/22
103.71.68.0	103.71.71.255	1024	103.71.68.0/22
103.72.112.0	103.72.112.255	256	103.72.112.0/24
103.73.116.0	103.73.119.255	1024	103.73.116.0/22
103.73.136.0	103.73.139.255	1024	103.73.136.0/22
103.73.140.0	103.73.143.255	1024	103.73.140.0/22
103.73.204.0	103.73.207.255	1024	103.73.204.0/22
103.74.24.0	103.74.24.255	256	103.74.24.0/24
103.74.25.0	103.74.25.255	256	103.74.25.0/24
103.74.26.0	103.74.26.255	256	103.74.26.0/24
103.74.27.0	103.74.27.255	256	103.74.27.0/24
103.74.28.0	103.74.28.255	256	103.74.28.0/24
103.74.29.0	103.74.29.255	256	103.74.29.0/24
103.74.30.0	103.74.30.255	256	103.74.30.0/24
103.74.31.0	103.74.31.255	256	103.74.31.0/24
103.74.48.0	103.74.49.255	512	103.74.48.0/23
103.74.50.0	103.74.50.255	256	103.74.50.0/24
103.74.51.0	103.74.51.255	256	103.74.51.0/24
103.88.32.0	103.88.35.255	1024	103.88.32.0/22
103.88.36.0	103.88.39.255	1024	103.88.36.0/22
103.90.152.0	103.90.152.255	256	103.90.152.0/24
103.90.153.0	103.90.153.255	256	103.90.153.0/24
103.90.154.0	103.90.154.255	256	103.90.154.0/24
103.90.155.0	103.90.155.255	256	103.90.155.0/24
103.97.112.0	103.97.112.255	256	103.97.112.0/24
103.98.220.0	103.98.223.255	1024	103.98.220.0/22
103.102.200.0	103.102.203.255	1024	103.102.200.0/22
103.105.12.0	103.105.15.255	1024	103.105.12.0/22
103.107.216.0	103.107.219.255	1024	103.107.216.0/22
103.108.244.0	103.108.244.255	256	103.108.244.0/24
103.110.132.0	103.110.135.255	1024	103.110.132.0/22
103.116.76.0	103.116.76.255	256	103.116.76.0/24
103.116.77.0	103.116.77.255	256	103.116.77.0/24
103.116.78.0	103.116.78.255	256	103.116.78.0/24
103.121.252.0	103.121.255.255	1024	103.121.252.0/22
103.143.16.0	103.143.17.255	512	103.143.16.0/23
103.143.18.0	103.143.19.255	512	103.143.18.0/23
103.144.158.0	103.144.158.255	256	103.144.158.0/24
103.147.124.0	103.147.124.255	256	103.147.124.0/24
103.149.242.0	103.149.242.255	256	103.149.242.0/24
103.149.244.0	103.149.245.255	512	103.149.244.0/23
103.149.246.0	103.149.247.255	512	103.149.246.0/23
103.152.56.0	103.152.57.255	512	103.152.56.0/23
103.156.68.0	103.156.69.255	512	103.156.68.0/23
103.161.220.0	103.161.221.255	512	103.161.220.0/23
103.163.46.0	103.163.47.255	512	103.163.46.0/23
103.164.33.0	103.164.33.255	256	103.164.33.0/24
103.164.76.0	103.164.77.255	512	103.164.76.0/23
103.170.4.0	103.170.5.255	512	103.170.4.0/23
103.186.108.0	103.186.108.255	256	103.186.108.0/24
103.186.109.0	103.186.109.255	256	103.186.109.0/24
103.191.242.0	103.191.243.255	512	103.191.242.0/23
103.192.212.0	103.192.215.255	1024	103.192.212.0/22
103.192.252.0	103.192.253.255	512	103.192.252.0/23
103.192.252.0	103.192.255.255	1024	103.192.252.0/22
103.192.254.0	103.192.255.255	512	103.192.254.0/23
103.198.124.0	103.198.125.255	512	103.198.124.0/23
103.198.124.0	103.198.127.255	1024	103.198.124.0/22
103.198.126.0	103.198.127.255	512	103.198.126.0/23
103.200.136.0	103.200.139.255	1024	103.200.136.0/22
103.200.140.0	103.200.143.255	1024	103.200.140.0/22
103.200.144.0	103.200.147.255	1024	103.200.144.0/22
103.200.148.0	103.200.151.255	1024	103.200.148.0/22
103.202.0.0	103.202.3.255	1024	103.202.0.0/22
103.202.4.0	103.202.7.255	1024	103.202.4.0/22
103.202.8.0	103.202.11.255	1024	103.202.8.0/22
103.202.12.0	103.202.15.255	1024	103.202.12.0/22
103.202.16.0	103.202.19.255	1024	103.202.16.0/22
103.202.20.0	103.202.23.255	1024	103.202.20.0/22
103.202.24.0	103.202.27.255	1024	103.202.24.0/22
103.202.28.0	103.202.31.255	1024	103.202.28.0/22
103.202.32.0	103.202.35.255	1024	103.202.32.0/22
103.202.36.0	103.202.39.255	1024	103.202.36.0/22
103.202.40.0	103.202.43.255	1024	103.202.40.0/22
103.202.44.0	103.202.47.255	1024	103.202.44.0/22
103.202.92.0	103.202.95.255	1024	103.202.92.0/22
103.202.96.0	103.202.99.255	1024	103.202.96.0/22
103.202.100.0	103.202.103.255	1024	103.202.100.0/22
103.202.104.0	103.202.107.255	1024	103.202.104.0/22
103.202.108.0	103.202.111.255	1024	103.202.108.0/22
103.202.112.0	103.202.115.255	1024	103.202.112.0/22
103.202.120.0	103.202.123.255	1024	103.202.120.0/22
103.202.124.0	103.202.127.255	1024	103.202.124.0/22
103.202.128.0	103.202.131.255	1024	103.202.128.0/22
103.202.132.0	103.202.135.255	1024	103.202.132.0/22
103.202.136.0	103.202.139.255	1024	103.202.136.0/22
103.202.140.0	103.202.143.255	1024	103.202.140.0/22
103.202.144.0	103.202.147.255	1024	103.202.144.0/22
103.203.140.0	103.203.141.255	512	103.203.140.0/23
103.205.4.0	103.205.7.255	1024	103.205.4.0/22
103.208.48.0	103.208.51.255	1024	103.208.48.0/22
103.211.44.0	103.211.47.255	1024	103.211.44.0/22
103.211.193.0	103.211.193.255	256	103.211.193.0/24
103.212.4.0	103.212.7.255	1024	103.212.4.0/22
103.212.48.0	103.212.48.255	256	103.212.48.0/24
103.212.49.0	103.212.49.255	256	103.212.49.0/24
103.213.96.0	103.213.99.255	1024	103.213.96.0/22
103.213.132.0	103.213.135.255	1024	103.213.132.0/22
103.215.36.0	103.215.39.255	1024	103.215.36.0/22
103.215.44.0	103.215.44.255	256	103.215.44.0/24
103.215.45.0	103.215.45.255	256	103.215.45.0/24
103.215.140.0	103.215.143.255	1024	103.215.140.0/22
103.218.216.0	103.218.219.255	1024	103.218.216.0/22
103.220.52.0	103.220.55.255	1024	103.220.52.0/22
103.220.56.0	103.220.59.255	1024	103.220.56.0/22
103.220.64.0	103.220.67.255	1024	103.220.64.0/22
103.222.33.0	103.222.33.255	256	103.222.33.0/24
103.222.40.0	103.222.40.255	256	103.222.40.0/24
103.222.41.0	103.222.41.255	256	103.222.41.0/24
103.222.42.0	103.222.42.255	256	103.222.42.0/24
103.222.43.0	103.222.43.255	256	103.222.43.0/24
103.222.176.0	103.222.179.255	1024	103.222.176.0/22
103.222.180.0	103.222.183.255	1024	103.222.180.0/22
103.223.132.0	103.223.132.255	256	103.223.132.0/24
103.223.132.0	103.223.135.255	1024	103.223.132.0/22
103.227.76.0	103.227.79.255	1024	103.227.76.0/22
103.227.80.0	103.227.83.255	1024	103.227.80.0/22
103.227.122.0	103.227.122.255	256	103.227.122.0/24
103.227.123.0	103.227.123.255	256	103.227.123.0/24
103.228.12.0	103.228.15.255	1024	103.228.12.0/22
103.228.160.0	103.228.163.255	1024	103.228.160.0/22
103.228.228.0	103.228.228.255	256	103.228.228.0/24
103.228.229.0	103.228.229.255	256	103.228.229.0/24
103.228.230.0	103.228.230.255	256	103.228.230.0/24
103.230.236.0	103.230.239.255	1024	103.230.236.0/22
103.231.64.0	103.231.71.255	2048	103.231.64.0/21
103.233.4.0	103.233.7.255	1024	103.233.4.0/22
103.234.128.0	103.234.128.255	256	103.234.128.0/24
103.234.129.0	103.234.129.255	256	103.234.129.0/24
103.235.136.0	103.235.139.255	1024	103.235.136.0/22
103.235.220.0	103.235.223.255	1024	103.235.220.0/22
103.235.224.0	103.235.227.255	1024	103.235.224.0/22
103.235.228.0	103.235.231.255	1024	103.235.228.0/22
103.235.232.0	103.235.235.255	1024	103.235.232.0/22
103.235.236.0	103.235.239.255	1024	103.235.236.0/22
103.235.244.0	103.235.247.255	1024	103.235.244.0/22
103.235.248.0	103.235.251.255	1024	103.235.248.0/22
103.235.252.0	103.235.255.255	1024	103.235.252.0/22
103.237.8.0	103.237.11.255	1024	103.237.8.0/22
103.237.28.0	103.237.29.255	512	103.237.28.0/23
